序号,汉字,Unicode,Unicode十六进制,来源,出现次数
1,一,19968,U+4E00,追加字库; 合并字库; GB2312,3
2,丁,19969,U+4E01,合并字库; GB2312,2
3,七,19971,U+4E03,合并字库; GB2312,2
4,万,19975,U+4E07,合并字库; GB2312,2
5,丈,19976,U+4E08,追加字库; 合并字库; GB2312,3
6,三,19977,U+4E09,合并字库; GB2312,2
7,上,19978,U+4E0A,合并字库; GB2312,2
8,下,19979,U+4E0B,追加字库; 合并字库; GB2312,3
9,丌,19980,U+4E0C,追加字库; 合并字库; GB2312,3
10,不,19981,U+4E0D,合并字库; GB2312,2
11,与,19982,U+4E0E,追加字库; 追加字库; 合并字库; GB2312,4
12,丐,19984,U+4E10,追加字库; 合并字库; GB2312,3
13,丑,19985,U+4E11,追加字库; 合并字库; GB2312,3
14,专,19987,U+4E13,追加字库; 合并字库; GB2312,3
15,且,19988,U+4E14,追加字库; 合并字库; GB2312,3
16,丕,19989,U+4E15,追加字库; 合并字库; GB2312,3
17,世,19990,U+4E16,追加字库; 合并字库; GB2312,3
18,丘,19992,U+4E18,合并字库; GB2312,2
19,丙,19993,U+4E19,追加字库; 合并字库; GB2312,3
20,业,19994,U+4E1A,合并字库; GB2312,2
21,丛,19995,U+4E1B,追加字库; 合并字库; GB2312,3
22,东,19996,U+4E1C,合并字库; GB2312,2
23,丝,19997,U+4E1D,合并字库; GB2312,2
24,丞,19998,U+4E1E,追加字库; 合并字库; GB2312,3
25,丢,20002,U+4E22,追加字库; 合并字库; GB2312,3
26,两,20004,U+4E24,合并字库; GB2312,2
27,严,20005,U+4E25,追加字库; 合并字库; GB2312,3
28,丧,20007,U+4E27,追加字库; 合并字库; GB2312,3
29,丨,20008,U+4E28,追加字库; 合并字库; GB2312,3
30,个,20010,U+4E2A,合并字库; GB2312,2
31,丫,20011,U+4E2B,追加字库; 合并字库; GB2312,3
32,丬,20012,U+4E2C,追加字库; 合并字库; GB2312,3
33,中,20013,U+4E2D,追加字库; 合并字库; GB2312,3
34,丰,20016,U+4E30,合并字库; GB2312,2
35,串,20018,U+4E32,追加字库; 合并字库; GB2312,3
36,临,20020,U+4E34,合并字库; GB2312,2
37,丶,20022,U+4E36,追加字库; 合并字库; GB2312,3
38,丸,20024,U+4E38,追加字库; 合并字库; GB2312,3
39,丹,20025,U+4E39,合并字库; GB2312,2
40,为,20026,U+4E3A,合并字库; GB2312,2
41,主,20027,U+4E3B,合并字库; GB2312,2
42,丽,20029,U+4E3D,合并字库; GB2312,2
43,举,20030,U+4E3E,追加字库; 合并字库; GB2312,3
44,丿,20031,U+4E3F,追加字库; 合并字库; GB2312,3
45,乃,20035,U+4E43,追加字库; 合并字库; GB2312,3
46,久,20037,U+4E45,追加字库; 合并字库; GB2312,3
47,乇,20039,U+4E47,追加字库; 合并字库; GB2312,3
48,么,20040,U+4E48,追加字库; 合并字库; GB2312,3
49,义,20041,U+4E49,合并字库; GB2312,2
50,之,20043,U+4E4B,合并字库; GB2312,2
51,乌,20044,U+4E4C,合并字库; GB2312,2
52,乍,20045,U+4E4D,追加字库; 合并字库; GB2312,3
53,乎,20046,U+4E4E,追加字库; 合并字库; GB2312,3
54,乏,20047,U+4E4F,追加字库; 合并字库; GB2312,3
55,乐,20048,U+4E50,合并字库; GB2312,2
56,乒,20050,U+4E52,追加字库; 合并字库; GB2312,3
57,乓,20051,U+4E53,追加字库; 合并字库; GB2312,3
58,乔,20052,U+4E54,追加字库; 合并字库; GB2312,3
59,乖,20054,U+4E56,追加字库; 合并字库; GB2312,3
60,乘,20056,U+4E58,合并字库; GB2312,2
61,乙,20057,U+4E59,追加字库; 合并字库; GB2312,3
62,乜,20060,U+4E5C,追加字库; 合并字库; GB2312,3
63,九,20061,U+4E5D,合并字库; GB2312,2
64,乞,20062,U+4E5E,追加字库; 合并字库; GB2312,3
65,也,20063,U+4E5F,追加字库; 合并字库; GB2312,3
66,习,20064,U+4E60,追加字库; 合并字库; GB2312,3
67,乡,20065,U+4E61,合并字库; GB2312,2
68,书,20070,U+4E66,追加字库; 合并字库; GB2312,3
69,乩,20073,U+4E69,追加字库; 合并字库; GB2312,3
70,买,20080,U+4E70,合并字库; GB2312,2
71,乱,20081,U+4E71,追加字库; 合并字库; GB2312,3
72,乳,20083,U+4E73,追加字库; 合并字库; GB2312,3
73,乾,20094,U+4E7E,合并字库; GB2312,2
74,了,20102,U+4E86,合并字库; GB2312,2
75,予,20104,U+4E88,追加字库; 合并字库; GB2312,3
76,争,20105,U+4E89,追加字库; 合并字库; GB2312,3
77,事,20107,U+4E8B,合并字库; GB2312,2
78,二,20108,U+4E8C,合并字库; GB2312,2
79,亍,20109,U+4E8D,追加字库; 合并字库; GB2312,3
80,于,20110,U+4E8E,合并字库; GB2312,2
81,亏,20111,U+4E8F,追加字库; 合并字库; GB2312,3
82,云,20113,U+4E91,合并字库; GB2312,2
83,互,20114,U+4E92,合并字库; GB2312,2
84,亓,20115,U+4E93,合并字库; GB2312,2
85,五,20116,U+4E94,合并字库; GB2312,2
86,井,20117,U+4E95,合并字库; GB2312,2
87,亘,20120,U+4E98,追加字库; 合并字库; GB2312,3
88,亚,20122,U+4E9A,合并字库; GB2312,2
89,些,20123,U+4E9B,追加字库; 合并字库; GB2312,3
90,亟,20127,U+4E9F,追加字库; 合并字库; GB2312,3
91,亠,20128,U+4EA0,追加字库; 合并字库; GB2312,3
92,亡,20129,U+4EA1,追加字库; 合并字库; GB2312,3
93,亢,20130,U+4EA2,追加字库; 合并字库; GB2312,3
94,交,20132,U+4EA4,合并字库; GB2312,2
95,亥,20133,U+4EA5,追加字库; 合并字库; GB2312,3
96,亦,20134,U+4EA6,追加字库; 合并字库; GB2312,3
97,产,20135,U+4EA7,追加字库; 合并字库; GB2312,3
98,亨,20136,U+4EA8,追加字库; 合并字库; GB2312,3
99,亩,20137,U+4EA9,追加字库; 合并字库; GB2312,3
100,享,20139,U+4EAB,追加字库; 合并字库; GB2312,3
101,京,20140,U+4EAC,合并字库; GB2312,2
102,亭,20141,U+4EAD,合并字库; GB2312,2
103,亮,20142,U+4EAE,合并字库; GB2312,2
104,亲,20146,U+4EB2,追加字库; 合并字库; GB2312,3
105,亳,20147,U+4EB3,合并字库; GB2312,2
106,亵,20149,U+4EB5,追加字库; 合并字库; GB2312,3
107,人,20154,U+4EBA,合并字库; GB2312,2
108,亻,20155,U+4EBB,追加字库; 合并字库; GB2312,3
109,亿,20159,U+4EBF,追加字库; 合并字库; GB2312,3
110,什,20160,U+4EC0,合并字库; GB2312,2
111,仁,20161,U+4EC1,合并字库; GB2312,2
112,仂,20162,U+4EC2,追加字库; 合并字库; GB2312,3
113,仃,20163,U+4EC3,追加字库; 合并字库; GB2312,3
114,仄,20164,U+4EC4,追加字库; 合并字库; GB2312,3
115,仅,20165,U+4EC5,合并字库; GB2312,2
116,仆,20166,U+4EC6,追加字库; 合并字库; GB2312,3
117,仇,20167,U+4EC7,追加字库; 合并字库; GB2312,3
118,仉,20169,U+4EC9,追加字库; 合并字库; GB2312,3
119,今,20170,U+4ECA,追加字库; 合并字库; GB2312,3
120,介,20171,U+4ECB,合并字库; GB2312,2
121,仍,20173,U+4ECD,追加字库; 合并字库; GB2312,3
122,从,20174,U+4ECE,合并字库; GB2312,2
123,仑,20177,U+4ED1,追加字库; 合并字库; GB2312,3
124,仓,20179,U+4ED3,追加字库; 合并字库; GB2312,3
125,仔,20180,U+4ED4,合并字库; GB2312,2
126,仕,20181,U+4ED5,追加字库; 合并字库; GB2312,3
127,他,20182,U+4ED6,合并字库; GB2312,2
128,仗,20183,U+4ED7,追加字库; 合并字库; GB2312,3
129,付,20184,U+4ED8,追加字库; 合并字库; GB2312,3
130,仙,20185,U+4ED9,合并字库; GB2312,2
131,仝,20189,U+4EDD,追加字库; 合并字库; GB2312,3
132,仞,20190,U+4EDE,追加字库; 合并字库; GB2312,3
133,仟,20191,U+4EDF,追加字库; 合并字库; GB2312,3
134,仡,20193,U+4EE1,追加字库; 合并字库; GB2312,3
135,代,20195,U+4EE3,追加字库; 合并字库; GB2312,3
136,令,20196,U+4EE4,合并字库; GB2312,2
137,以,20197,U+4EE5,追加字库; 追加字库; 合并字库; GB2312,4
138,仨,20200,U+4EE8,追加字库; 合并字库; GB2312,3
139,仪,20202,U+4EEA,合并字库; GB2312,2
140,仫,20203,U+4EEB,追加字库; 合并字库; GB2312,3
141,们,20204,U+4EEC,合并字库; GB2312,2
142,仰,20208,U+4EF0,追加字库; 合并字库; GB2312,3
143,仲,20210,U+4EF2,追加字库; 合并字库; GB2312,3
144,仳,20211,U+4EF3,追加字库; 合并字库; GB2312,3
145,仵,20213,U+4EF5,追加字库; 合并字库; GB2312,3
146,件,20214,U+4EF6,追加字库; 合并字库; GB2312,3
147,价,20215,U+4EF7,追加字库; 合并字库; GB2312,3
148,任,20219,U+4EFB,合并字库; GB2312,2
149,份,20221,U+4EFD,追加字库; 合并字库; GB2312,3
150,仿,20223,U+4EFF,追加字库; 合并字库; GB2312,3
151,企,20225,U+4F01,追加字库; 合并字库; GB2312,3
152,伉,20233,U+4F09,追加字库; 合并字库; GB2312,3
153,伊,20234,U+4F0A,合并字库; GB2312,2
154,伍,20237,U+4F0D,合并字库; GB2312,2
155,伎,20238,U+4F0E,追加字库; 合并字库; GB2312,3
156,伏,20239,U+4F0F,追加字库; 合并字库; GB2312,3
157,伐,20240,U+4F10,追加字库; 合并字库; GB2312,3
158,休,20241,U+4F11,合并字库; GB2312,2
159,众,20247,U+4F17,追加字库; 合并字库; GB2312,3
160,优,20248,U+4F18,合并字库; GB2312,2
161,伙,20249,U+4F19,追加字库; 合并字库; GB2312,3
162,会,20250,U+4F1A,合并字库; GB2312,2
163,伛,20251,U+4F1B,追加字库; 合并字库; GB2312,3
164,伞,20254,U+4F1E,追加字库; 合并字库; GB2312,3
165,伟,20255,U+4F1F,追加字库; 合并字库; GB2312,3
166,传,20256,U+4F20,追加字库; 合并字库; GB2312,3
167,伢,20258,U+4F22,追加字库; 合并字库; GB2312,3
168,伤,20260,U+4F24,追加字库; 合并字库; GB2312,3
169,伥,20261,U+4F25,追加字库; 合并字库; GB2312,3
170,伦,20262,U+4F26,追加字库; 合并字库; GB2312,3
171,伧,20263,U+4F27,追加字库; 合并字库; GB2312,3
172,伪,20266,U+4F2A,追加字库; 合并字库; GB2312,3
173,伫,20267,U+4F2B,追加字库; 合并字库; GB2312,3
174,伯,20271,U+4F2F,追加字库; 合并字库; GB2312,3
175,估,20272,U+4F30,追加字库; 合并字库; GB2312,3
176,伲,20274,U+4F32,追加字库; 合并字库; GB2312,3
177,伴,20276,U+4F34,追加字库; 合并字库; GB2312,3
178,伶,20278,U+4F36,追加字库; 合并字库; GB2312,3
179,伸,20280,U+4F38,追加字库; 合并字库; GB2312,3
180,伺,20282,U+4F3A,追加字库; 合并字库; GB2312,3
181,似,20284,U+4F3C,追加字库; 合并字库; GB2312,3
182,伽,20285,U+4F3D,追加字库; 合并字库; GB2312,3
183,佃,20291,U+4F43,追加字库; 合并字库; GB2312,3
184,但,20294,U+4F46,追加字库; 合并字库; GB2312,3
185,位,20301,U+4F4D,追加字库; 合并字库; GB2312,3
186,低,20302,U+4F4E,合并字库; GB2312,2
187,住,20303,U+4F4F,追加字库; 合并字库; GB2312,3
188,佐,20304,U+4F50,追加字库; 合并字库; GB2312,3
189,佑,20305,U+4F51,追加字库; 合并字库; GB2312,3
190,体,20307,U+4F53,追加字库; 合并字库; GB2312,3
191,何,20309,U+4F55,合并字库; GB2312,2
192,佗,20311,U+4F57,追加字库; 合并字库; GB2312,3
193,佘,20312,U+4F58,追加字库; 合并字库; GB2312,3
194,余,20313,U+4F59,合并字库; GB2312,2
195,佚,20314,U+4F5A,追加字库; 合并字库; GB2312,3
196,佛,20315,U+4F5B,合并字库; GB2312,2
197,作,20316,U+4F5C,合并字库; GB2312,2
198,佝,20317,U+4F5D,追加字库; 合并字库; GB2312,3
199,佞,20318,U+4F5E,追加字库; 合并字库; GB2312,3
200,佟,20319,U+4F5F,追加字库; 合并字库; GB2312,3
201,你,20320,U+4F60,合并字库; GB2312,2
202,佣,20323,U+4F63,追加字库; 合并字库; GB2312,3
203,佤,20324,U+4F64,追加字库; 合并字库; GB2312,3
204,佥,20325,U+4F65,追加字库; 合并字库; GB2312,3
205,佧,20327,U+4F67,追加字库; 合并字库; GB2312,3
206,佩,20329,U+4F69,合并字库; GB2312,2
207,佬,20332,U+4F6C,追加字库; 合并字库; GB2312,3
208,佯,20335,U+4F6F,追加字库; 合并字库; GB2312,3
209,佰,20336,U+4F70,追加字库; 合并字库; GB2312,3
210,佳,20339,U+4F73,合并字库; GB2312,2
211,佴,20340,U+4F74,追加字库; 合并字库; GB2312,3
212,佶,20342,U+4F76,追加字库; 合并字库; GB2312,3
213,佻,20347,U+4F7B,追加字库; 合并字库; GB2312,3
214,佼,20348,U+4F7C,追加字库; 合并字库; GB2312,3
215,佾,20350,U+4F7E,追加字库; 合并字库; GB2312,3
216,使,20351,U+4F7F,追加字库; 合并字库; GB2312,3
217,侃,20355,U+4F83,追加字库; 合并字库; GB2312,3
218,侄,20356,U+4F84,追加字库; 合并字库; GB2312,3
219,侈,20360,U+4F88,追加字库; 合并字库; GB2312,3
220,侉,20361,U+4F89,追加字库; 合并字库; GB2312,3
221,例,20363,U+4F8B,追加字库; 合并字库; GB2312,3
222,侍,20365,U+4F8D,追加字库; 合并字库; GB2312,3
223,侏,20367,U+4F8F,追加字库; 合并字库; GB2312,3
224,侑,20369,U+4F91,追加字库; 合并字库; GB2312,3
225,侔,20372,U+4F94,追加字库; 合并字库; GB2312,3
226,侗,20375,U+4F97,追加字库; 合并字库; GB2312,3
227,供,20379,U+4F9B,追加字库; 合并字库; GB2312,3
228,依,20381,U+4F9D,合并字库; GB2312,2
229,侠,20384,U+4FA0,追加字库; 合并字库; GB2312,3
230,侣,20387,U+4FA3,追加字库; 合并字库; GB2312,3
231,侥,20389,U+4FA5,追加字库; 合并字库; GB2312,3
232,侦,20390,U+4FA6,追加字库; 合并字库; GB2312,3
233,侧,20391,U+4FA7,合并字库; GB2312,2
234,侨,20392,U+4FA8,追加字库; 合并字库; GB2312,3
235,侩,20393,U+4FA9,追加字库; 合并字库; GB2312,3
236,侪,20394,U+4FAA,追加字库; 合并字库; GB2312,3
237,侬,20396,U+4FAC,追加字库; 合并字库; GB2312,3
238,侮,20398,U+4FAE,追加字库; 合并字库; GB2312,3
239,侯,20399,U+4FAF,追加字库; 合并字库; GB2312,3
240,侵,20405,U+4FB5,追加字库; 合并字库; GB2312,3
241,便,20415,U+4FBF,追加字库; 合并字库; GB2312,3
242,促,20419,U+4FC3,追加字库; 合并字库; GB2312,3
243,俄,20420,U+4FC4,追加字库; 合并字库; GB2312,3
244,俅,20421,U+4FC5,追加字库; 合并字库; GB2312,3
245,俊,20426,U+4FCA,追加字库; 合并字库; GB2312,3
246,俎,20430,U+4FCE,追加字库; 合并字库; GB2312,3
247,俏,20431,U+4FCF,追加字库; 合并字库; GB2312,3
248,俐,20432,U+4FD0,追加字库; 合并字库; GB2312,3
249,俑,20433,U+4FD1,追加字库; 合并字库; GB2312,3
250,俗,20439,U+4FD7,追加字库; 合并字库; GB2312,3
251,俘,20440,U+4FD8,追加字库; 合并字库; GB2312,3
252,俚,20442,U+4FDA,追加字库; 合并字库; GB2312,3
253,俜,20444,U+4FDC,追加字库; 合并字库; GB2312,3
254,保,20445,U+4FDD,合并字库; GB2312,2
255,俞,20446,U+4FDE,追加字库; 合并字库; GB2312,3
256,俟,20447,U+4FDF,追加字库; 合并字库; GB2312,3
257,信,20449,U+4FE1,合并字库; GB2312,2
258,俣,20451,U+4FE3,追加字库; 合并字库; GB2312,3
259,俦,20454,U+4FE6,追加字库; 合并字库; GB2312,3
260,俨,20456,U+4FE8,追加字库; 合并字库; GB2312,3
261,俩,20457,U+4FE9,追加字库; 合并字库; GB2312,3
262,俪,20458,U+4FEA,追加字库; 合并字库; GB2312,3
263,俭,20461,U+4FED,追加字库; 合并字库; GB2312,3
264,修,20462,U+4FEE,合并字库; GB2312,2
265,俯,20463,U+4FEF,追加字库; 合并字库; GB2312,3
266,俱,20465,U+4FF1,合并字库; GB2312,2
267,俳,20467,U+4FF3,追加字库; 合并字库; GB2312,3
268,俸,20472,U+4FF8,追加字库; 合并字库; GB2312,3
269,俺,20474,U+4FFA,追加字库; 合并字库; GB2312,3
270,俾,20478,U+4FFE,追加字库; 合并字库; GB2312,3
271,倌,20492,U+500C,合并字库; GB2312,2
272,倍,20493,U+500D,追加字库; 合并字库; GB2312,3
273,倏,20495,U+500F,追加字库; 合并字库; GB2312,3
274,倒,20498,U+5012,合并字库; GB2312,2
275,倔,20500,U+5014,追加字库; 合并字库; GB2312,3
276,倘,20504,U+5018,追加字库; 合并字库; GB2312,3
277,候,20505,U+5019,合并字库; GB2312,2
278,倚,20506,U+501A,追加字库; 合并字库; GB2312,3
279,倜,20508,U+501C,追加字库; 合并字库; GB2312,3
280,借,20511,U+501F,合并字库; GB2312,2
281,倡,20513,U+5021,追加字库; 合并字库; GB2312,3
282,倥,20517,U+5025,追加字库; 合并字库; GB2312,3
283,倦,20518,U+5026,追加字库; 合并字库; GB2312,3
284,倨,20520,U+5028,追加字库; 合并字库; GB2312,3
285,倩,20521,U+5029,追加字库; 合并字库; GB2312,3
286,倪,20522,U+502A,追加字库; 合并字库; GB2312,3
287,倬,20524,U+502C,追加字库; 合并字库; GB2312,3
288,倭,20525,U+502D,追加字库; 合并字库; GB2312,3
289,倮,20526,U+502E,追加字库; 合并字库; GB2312,3
290,债,20538,U+503A,追加字库; 合并字库; GB2312,3
291,值,20540,U+503C,追加字库; 合并字库; GB2312,3
292,倾,20542,U+503E,追加字库; 合并字库; GB2312,3
293,偃,20547,U+5043,合并字库; GB2312,2
294,假,20551,U+5047,合并字库; GB2312,2
295,偈,20552,U+5048,追加字库; 合并字库; GB2312,3
296,偌,20556,U+504C,追加字库; 合并字库; GB2312,3
297,偎,20558,U+504E,追加字库; 合并字库; GB2312,3
298,偏,20559,U+504F,合并字库; GB2312,2
299,偕,20565,U+5055,追加字库; 合并字库; GB2312,3
300,做,20570,U+505A,追加字库; 合并字库; GB2312,3
301,停,20572,U+505C,合并字库; GB2312,2
302,健,20581,U+5065,追加字库; 合并字库; GB2312,3
303,偬,20588,U+506C,追加字库; 合并字库; GB2312,3
304,偶,20598,U+5076,追加字库; 合并字库; GB2312,3
305,偷,20599,U+5077,追加字库; 合并字库; GB2312,3
306,偻,20603,U+507B,追加字库; 合并字库; GB2312,3
307,偾,20606,U+507E,追加字库; 合并字库; GB2312,3
308,偿,20607,U+507F,追加字库; 合并字库; GB2312,3
309,傀,20608,U+5080,追加字库; 合并字库; GB2312,3
310,傅,20613,U+5085,合并字库; GB2312,2
311,傈,20616,U+5088,追加字库; 合并字库; GB2312,3
312,傍,20621,U+508D,追加字库; 合并字库; GB2312,3
313,傣,20643,U+50A3,追加字库; 合并字库; GB2312,3
314,傥,20645,U+50A5,追加字库; 合并字库; GB2312,3
315,傧,20647,U+50A7,追加字库; 合并字库; GB2312,3
316,储,20648,U+50A8,合并字库; GB2312,2
317,傩,20649,U+50A9,追加字库; 合并字库; GB2312,3
318,催,20652,U+50AC,追加字库; 合并字库; GB2312,3
319,傲,20658,U+50B2,合并字库; GB2312,2
320,傺,20666,U+50BA,追加字库; 合并字库; GB2312,3
321,傻,20667,U+50BB,追加字库; 合并字库; GB2312,3
322,像,20687,U+50CF,追加字库; 合并字库; GB2312,3
323,僖,20694,U+50D6,追加字库; 合并字库; GB2312,3
324,僚,20698,U+50DA,追加字库; 合并字库; GB2312,3
325,僦,20710,U+50E6,追加字库; 合并字库; GB2312,3
326,僧,20711,U+50E7,追加字库; 合并字库; GB2312,3
327,僬,20716,U+50EC,追加字库; 合并字库; GB2312,3
328,僭,20717,U+50ED,追加字库; 合并字库; GB2312,3
329,僮,20718,U+50EE,追加字库; 合并字库; GB2312,3
330,僳,20723,U+50F3,追加字库; 合并字库; GB2312,3
331,僵,20725,U+50F5,追加字库; 合并字库; GB2312,3
332,僻,20731,U+50FB,追加字库; 合并字库; GB2312,3
333,儆,20742,U+5106,追加字库; 合并字库; GB2312,3
334,儇,20743,U+5107,追加字库; 合并字库; GB2312,3
335,儋,20747,U+510B,合并字库; GB2312,2
336,儒,20754,U+5112,追加字库; 合并字库; GB2312,3
337,儡,20769,U+5121,追加字库; 合并字库; GB2312,3
338,儿,20799,U+513F,追加字库; 合并字库; GB2312,3
339,兀,20800,U+5140,追加字库; 合并字库; GB2312,3
340,允,20801,U+5141,追加字库; 合并字库; GB2312,3
341,元,20803,U+5143,合并字库; GB2312,2
342,兄,20804,U+5144,合并字库; GB2312,2
343,充,20805,U+5145,合并字库; GB2312,2
344,兆,20806,U+5146,合并字库; GB2312,2
345,先,20808,U+5148,合并字库; GB2312,2
346,光,20809,U+5149,合并字库; GB2312,2
347,克,20811,U+514B,合并字库; GB2312,2
348,免,20813,U+514D,追加字库; 合并字库; GB2312,3
349,兑,20817,U+5151,追加字库; 合并字库; GB2312,3
350,兔,20820,U+5154,追加字库; 合并字库; GB2312,3
351,兕,20821,U+5155,追加字库; 合并字库; GB2312,3
352,兖,20822,U+5156,合并字库; GB2312,2
353,党,20826,U+515A,合并字库; GB2312,2
354,兜,20828,U+515C,追加字库; 合并字库; GB2312,3
355,兢,20834,U+5162,追加字库; 合并字库; GB2312,3
356,入,20837,U+5165,合并字库; GB2312,2
357,全,20840,U+5168,合并字库; GB2312,2
358,八,20843,U+516B,合并字库; GB2312,2
359,公,20844,U+516C,合并字库; GB2312,2
360,六,20845,U+516D,合并字库; GB2312,2
361,兮,20846,U+516E,追加字库; 合并字库; GB2312,3
362,兰,20848,U+5170,合并字库; GB2312,2
363,共,20849,U+5171,合并字库; GB2312,2
364,关,20851,U+5173,合并字库; GB2312,2
365,兴,20852,U+5174,合并字库; GB2312,2
366,兵,20853,U+5175,合并字库; GB2312,2
367,其,20854,U+5176,合并字库; GB2312,2
368,具,20855,U+5177,追加字库; 合并字库; GB2312,3
369,典,20856,U+5178,合并字库; GB2312,2
370,兹,20857,U+5179,追加字库; 合并字库; GB2312,3
371,养,20859,U+517B,追加字库; 合并字库; GB2312,3
372,兼,20860,U+517C,追加字库; 合并字库; GB2312,3
373,兽,20861,U+517D,合并字库; GB2312,2
374,冀,20864,U+5180,合并字库; GB2312,2
375,冁,20865,U+5181,追加字库; 合并字库; GB2312,3
376,冂,20866,U+5182,追加字库; 合并字库; GB2312,3
377,内,20869,U+5185,合并字库; GB2312,2
378,冈,20872,U+5188,合并字库; GB2312,2
379,冉,20873,U+5189,追加字库; 合并字库; GB2312,3
380,册,20876,U+518C,追加字库; 合并字库; GB2312,3
381,再,20877,U+518D,追加字库; 合并字库; GB2312,3
382,冒,20882,U+5192,追加字库; 合并字库; GB2312,3
383,冕,20885,U+5195,合并字库; GB2312,2
384,冖,20886,U+5196,追加字库; 合并字库; GB2312,3
385,冗,20887,U+5197,追加字库; 合并字库; GB2312,3
386,写,20889,U+5199,追加字库; 合并字库; GB2312,3
387,军,20891,U+519B,追加字库; 合并字库; GB2312,3
388,农,20892,U+519C,合并字库; GB2312,2
389,冠,20896,U+51A0,合并字库; GB2312,2
390,冢,20898,U+51A2,追加字库; 合并字库; GB2312,3
391,冤,20900,U+51A4,追加字库; 合并字库; GB2312,3
392,冥,20901,U+51A5,追加字库; 合并字库; GB2312,3
393,冫,20907,U+51AB,追加字库; 合并字库; GB2312,3
394,冬,20908,U+51AC,合并字库; GB2312,2
395,冯,20911,U+51AF,合并字库; GB2312,2
396,冰,20912,U+51B0,追加字库; 合并字库; GB2312,3
397,冱,20913,U+51B1,追加字库; 合并字库; GB2312,3
398,冲,20914,U+51B2,追加字库; 合并字库; GB2312,3
399,决,20915,U+51B3,追加字库; 合并字库; GB2312,3
400,况,20917,U+51B5,追加字库; 合并字库; GB2312,3
401,冶,20918,U+51B6,合并字库; GB2312,2
402,冷,20919,U+51B7,合并字库; GB2312,2
403,冻,20923,U+51BB,追加字库; 合并字库; GB2312,3
404,冼,20924,U+51BC,追加字库; 合并字库; GB2312,3
405,冽,20925,U+51BD,追加字库; 合并字库; GB2312,3
406,净,20928,U+51C0,追加字库; 合并字库; GB2312,3
407,凄,20932,U+51C4,追加字库; 合并字库; GB2312,3
408,准,20934,U+51C6,合并字库; GB2312,2
409,凇,20935,U+51C7,追加字库; 合并字库; GB2312,3
410,凉,20937,U+51C9,合并字库; GB2312,2
411,凋,20939,U+51CB,追加字库; 合并字库; GB2312,3
412,凌,20940,U+51CC,合并字库; GB2312,2
413,减,20943,U+51CF,合并字库; GB2312,2
414,凑,20945,U+51D1,追加字库; 合并字库; GB2312,3
415,凛,20955,U+51DB,追加字库; 合并字库; GB2312,3
416,凝,20957,U+51DD,追加字库; 合并字库; GB2312,3
417,几,20960,U+51E0,合并字库; GB2312,2
418,凡,20961,U+51E1,追加字库; 合并字库; GB2312,3
419,凤,20964,U+51E4,合并字库; GB2312,2
420,凫,20971,U+51EB,追加字库; 合并字库; GB2312,3
421,凭,20973,U+51ED,追加字库; 合并字库; GB2312,3
422,凯,20975,U+51EF,追加字库; 合并字库; GB2312,3
423,凰,20976,U+51F0,追加字库; 合并字库; GB2312,3
424,凳,20979,U+51F3,追加字库; 合并字库; GB2312,3
425,凵,20981,U+51F5,追加字库; 合并字库; GB2312,3
426,凶,20982,U+51F6,追加字库; 合并字库; GB2312,3
427,凸,20984,U+51F8,追加字库; 合并字库; GB2312,3
428,凹,20985,U+51F9,追加字库; 合并字库; GB2312,3
429,出,20986,U+51FA,追加字库; 合并字库; GB2312,3
430,击,20987,U+51FB,追加字库; 合并字库; GB2312,3
431,凼,20988,U+51FC,追加字库; 合并字库; GB2312,3
432,函,20989,U+51FD,追加字库; 合并字库; GB2312,3
433,凿,20991,U+51FF,追加字库; 合并字库; GB2312,3
434,刀,20992,U+5200,追加字库; 合并字库; GB2312,3
435,刁,20993,U+5201,追加字库; 合并字库; GB2312,3
436,刂,20994,U+5202,追加字库; 合并字库; GB2312,3
437,刃,20995,U+5203,追加字库; 合并字库; GB2312,3
438,分,20998,U+5206,合并字库; GB2312,2
439,切,20999,U+5207,合并字库; GB2312,2
440,刈,21000,U+5208,追加字库; 合并字库; GB2312,3
441,刊,21002,U+520A,合并字库; GB2312,2
442,刍,21005,U+520D,追加字库; 合并字库; GB2312,3
443,刎,21006,U+520E,追加字库; 合并字库; GB2312,3
444,刑,21009,U+5211,追加字库; 合并字库; GB2312,3
445,划,21010,U+5212,追加字库; 合并字库; GB2312,3
446,刖,21014,U+5216,追加字库; 合并字库; GB2312,3
447,列,21015,U+5217,合并字库; GB2312,2
448,刘,21016,U+5218,合并字库; GB2312,2
449,则,21017,U+5219,追加字库; 合并字库; GB2312,3
450,刚,21018,U+521A,追加字库; 合并字库; GB2312,3
451,创,21019,U+521B,追加字库; 合并字库; GB2312,3
452,初,21021,U+521D,追加字库; 合并字库; GB2312,3
453,删,21024,U+5220,合并字库; GB2312,2
454,判,21028,U+5224,追加字库; 合并字库; GB2312,3
455,刨,21032,U+5228,追加字库; 合并字库; GB2312,3
456,利,21033,U+5229,合并字库; GB2312,2
457,别,21035,U+522B,追加字库; 合并字库; GB2312,3
458,刭,21037,U+522D,追加字库; 合并字库; GB2312,3
459,刮,21038,U+522E,追加字库; 合并字库; GB2312,3
460,到,21040,U+5230,合并字库; GB2312,2
461,刳,21043,U+5233,追加字库; 合并字库; GB2312,3
462,制,21046,U+5236,合并字库; GB2312,2
463,刷,21047,U+5237,合并字库; GB2312,2
464,券,21048,U+5238,追加字库; 合并字库; GB2312,3
