序号,汉字,Unicode,Unicode十六进制,来源,出现次数
4061,筌,31564,U+7B4C,追加字库; 合并字库; GB2312,3
4062,筏,31567,U+7B4F,追加字库; 合并字库; GB2312,3
4063,筐,31568,U+7B50,追加字库; 合并字库; GB2312,3
4064,筑,31569,U+7B51,追加字库; 合并字库; GB2312,3
4065,筒,31570,U+7B52,追加字库; 合并字库; GB2312,3
4066,答,31572,U+7B54,追加字库; 合并字库; GB2312,3
4067,策,31574,U+7B56,追加字库; 合并字库; GB2312,3
4068,筘,31576,U+7B58,追加字库; 合并字库; GB2312,3
4069,筚,31578,U+7B5A,追加字库; 合并字库; GB2312,3
4070,筛,31579,U+7B5B,追加字库; 合并字库; GB2312,3
4071,筝,31581,U+7B5D,追加字库; 合并字库; GB2312,3
4072,筠,31584,U+7B60,追加字库; 合并字库; GB2312,3
4073,筢,31586,U+7B62,追加字库; 合并字库; GB2312,3
4074,筮,31598,U+7B6E,追加字库; 合并字库; GB2312,3
4075,筱,31601,U+7B71,追加字库; 合并字库; GB2312,3
4076,筲,31602,U+7B72,追加字库; 合并字库; GB2312,3
4077,筵,31605,U+7B75,追加字库; 合并字库; GB2312,3
4078,筷,31607,U+7B77,追加字库; 合并字库; GB2312,3
4079,筹,31609,U+7B79,追加字库; 合并字库; GB2312,3
4080,筻,31611,U+7B7B,追加字库; 合并字库; GB2312,3
4081,签,31614,U+7B7E,追加字库; 合并字库; GB2312,3
4082,简,31616,U+7B80,合并字库; GB2312,2
4083,箅,31621,U+7B85,追加字库; 合并字库; GB2312,3
4084,箍,31629,U+7B8D,追加字库; 合并字库; GB2312,3
4085,箐,31632,U+7B90,追加字库; 合并字库; GB2312,3
4086,箔,31636,U+7B94,追加字库; 合并字库; GB2312,3
4087,箕,31637,U+7B95,追加字库; 合并字库; GB2312,3
4088,算,31639,U+7B97,追加字库; 合并字库; GB2312,3
4089,箜,31644,U+7B9C,追加字库; 合并字库; GB2312,3
4090,箝,31645,U+7B9D,追加字库; 合并字库; GB2312,3
4091,管,31649,U+7BA1,追加字库; 合并字库; GB2312,3
4092,箢,31650,U+7BA2,追加字库; 合并字库; GB2312,3
4093,箦,31654,U+7BA6,追加字库; 合并字库; GB2312,3
4094,箧,31655,U+7BA7,追加字库; 合并字库; GB2312,3
4095,箨,31656,U+7BA8,追加字库; 合并字库; GB2312,3
4096,箩,31657,U+7BA9,追加字库; 合并字库; GB2312,3
4097,箪,31658,U+7BAA,追加字库; 合并字库; GB2312,3
4098,箫,31659,U+7BAB,追加字库; 合并字库; GB2312,3
4099,箬,31660,U+7BAC,追加字库; 合并字库; GB2312,3
4100,箭,31661,U+7BAD,追加字库; 合并字库; GB2312,3
4101,箱,31665,U+7BB1,追加字库; 合并字库; GB2312,3
4102,箴,31668,U+7BB4,追加字库; 合并字库; GB2312,3
4103,箸,31672,U+7BB8,追加字库; 合并字库; GB2312,3
4104,篁,31681,U+7BC1,追加字库; 合并字库; GB2312,3
4105,篆,31686,U+7BC6,追加字库; 合并字库; GB2312,3
4106,篇,31687,U+7BC7,追加字库; 合并字库; GB2312,3
4107,篌,31692,U+7BCC,追加字库; 合并字库; GB2312,3
4108,篑,31697,U+7BD1,追加字库; 合并字库; GB2312,3
4109,篓,31699,U+7BD3,追加字库; 合并字库; GB2312,3
4110,篙,31705,U+7BD9,追加字库; 合并字库; GB2312,3
4111,篚,31706,U+7BDA,追加字库; 合并字库; GB2312,3
4112,篝,31709,U+7BDD,追加字库; 合并字库; GB2312,3
4113,篡,31713,U+7BE1,追加字库; 合并字库; GB2312,3
4114,篥,31717,U+7BE5,追加字库; 合并字库; GB2312,3
4115,篦,31718,U+7BE6,追加字库; 合并字库; GB2312,3
4116,篪,31722,U+7BEA,追加字库; 合并字库; GB2312,3
4117,篮,31726,U+7BEE,追加字库; 合并字库; GB2312,3
4118,篱,31729,U+7BF1,追加字库; 合并字库; GB2312,3
4119,篷,31735,U+7BF7,追加字库; 合并字库; GB2312,3
4120,篼,31740,U+7BFC,追加字库; 合并字库; GB2312,3
4121,篾,31742,U+7BFE,追加字库; 合并字库; GB2312,3
4122,簇,31751,U+7C07,追加字库; 合并字库; GB2312,3
4123,簋,31755,U+7C0B,追加字库; 合并字库; GB2312,3
4124,簌,31756,U+7C0C,追加字库; 合并字库; GB2312,3
4125,簏,31759,U+7C0F,追加字库; 合并字库; GB2312,3
4126,簖,31766,U+7C16,追加字库; 合并字库; GB2312,3
4127,簟,31775,U+7C1F,追加字库; 合并字库; GB2312,3
4128,簦,31782,U+7C26,追加字库; 合并字库; GB2312,3
4129,簧,31783,U+7C27,追加字库; 合并字库; GB2312,3
4130,簪,31786,U+7C2A,追加字库; 合并字库; GB2312,3
4131,簸,31800,U+7C38,追加字库; 合并字库; GB2312,3
4132,簿,31807,U+7C3F,追加字库; 合并字库; GB2312,3
4133,籀,31808,U+7C40,追加字库; 合并字库; GB2312,3
4134,籁,31809,U+7C41,追加字库; 合并字库; GB2312,3
4135,籍,31821,U+7C4D,追加字库; 合并字库; GB2312,3
4136,米,31859,U+7C73,合并字库; GB2312,2
4137,籴,31860,U+7C74,追加字库; 合并字库; GB2312,3
4138,类,31867,U+7C7B,合并字库; GB2312,2
4139,籼,31868,U+7C7C,追加字库; 合并字库; GB2312,3
4140,籽,31869,U+7C7D,追加字库; 合并字库; GB2312,3
4141,粉,31881,U+7C89,合并字库; GB2312,2
4142,粑,31889,U+7C91,追加字库; 合并字库; GB2312,3
4143,粒,31890,U+7C92,追加字库; 合并字库; GB2312,3
4144,粕,31893,U+7C95,追加字库; 合并字库; GB2312,3
4145,粗,31895,U+7C97,合并字库; GB2312,2
4146,粘,31896,U+7C98,追加字库; 合并字库; GB2312,3
4147,粜,31900,U+7C9C,追加字库; 合并字库; GB2312,3
4148,粝,31901,U+7C9D,追加字库; 合并字库; GB2312,3
4149,粞,31902,U+7C9E,追加字库; 合并字库; GB2312,3
4150,粟,31903,U+7C9F,追加字库; 合并字库; GB2312,3
4151,粢,31906,U+7CA2,追加字库; 合并字库; GB2312,3
4152,粤,31908,U+7CA4,合并字库; GB2312,2
4153,粥,31909,U+7CA5,追加字库; 合并字库; GB2312,3
4154,粪,31914,U+7CAA,追加字库; 合并字库; GB2312,3
4155,粮,31918,U+7CAE,追加字库; 合并字库; GB2312,3
4156,粱,31921,U+7CB1,追加字库; 合并字库; GB2312,3
4157,粲,31922,U+7CB2,追加字库; 合并字库; GB2312,3
4158,粳,31923,U+7CB3,追加字库; 合并字库; GB2312,3
4159,粹,31929,U+7CB9,追加字库; 合并字库; GB2312,3
4160,粼,31932,U+7CBC,追加字库; 合并字库; GB2312,3
4161,粽,31933,U+7CBD,追加字库; 合并字库; GB2312,3
4162,精,31934,U+7CBE,合并字库; GB2312,2
4163,糁,31937,U+7CC1,追加字库; 合并字库; GB2312,3
4164,糅,31941,U+7CC5,追加字库; 合并字库; GB2312,3
4165,糇,31943,U+7CC7,追加字库; 合并字库; GB2312,3
4166,糈,31944,U+7CC8,追加字库; 合并字库; GB2312,3
4167,糊,31946,U+7CCA,追加字库; 合并字库; GB2312,3
4168,糌,31948,U+7CCC,追加字库; 合并字库; GB2312,3
4169,糍,31949,U+7CCD,追加字库; 合并字库; GB2312,3
4170,糕,31957,U+7CD5,追加字库; 合并字库; GB2312,3
4171,糖,31958,U+7CD6,追加字库; 合并字库; GB2312,3
4172,糗,31959,U+7CD7,追加字库; 合并字库; GB2312,3
4173,糙,31961,U+7CD9,追加字库; 合并字库; GB2312,3
4174,糜,31964,U+7CDC,追加字库; 合并字库; GB2312,3
4175,糟,31967,U+7CDF,追加字库; 合并字库; GB2312,3
4176,糠,31968,U+7CE0,追加字库; 合并字库; GB2312,3
4177,糨,31976,U+7CE8,追加字库; 合并字库; GB2312,3
4178,糯,31983,U+7CEF,追加字库; 合并字库; GB2312,3
4179,糸,31992,U+7CF8,追加字库; 合并字库; GB2312,3
4180,系,31995,U+7CFB,合并字库; GB2312,2
4181,紊,32010,U+7D0A,追加字库; 合并字库; GB2312,3
4182,素,32032,U+7D20,追加字库; 合并字库; GB2312,3
4183,索,32034,U+7D22,合并字库; GB2312,2
4184,紧,32039,U+7D27,合并字库; GB2312,2
4185,紫,32043,U+7D2B,合并字库; GB2312,2
4186,累,32047,U+7D2F,追加字库; 合并字库; GB2312,3
4187,絮,32110,U+7D6E,追加字库; 合并字库; GB2312,3
4188,絷,32119,U+7D77,追加字库; 合并字库; GB2312,3
4189,綦,32166,U+7DA6,合并字库; GB2312,2
4190,綮,32174,U+7DAE,追加字库; 合并字库; GB2312,3
4191,縻,32315,U+7E3B,追加字库; 合并字库; GB2312,3
4192,繁,32321,U+7E41,合并字库; GB2312,2
4193,繇,32327,U+7E47,追加字库; 合并字库; GB2312,3
4194,纂,32386,U+7E82,追加字库; 合并字库; GB2312,3
4195,纛,32411,U+7E9B,追加字库; 合并字库; GB2312,3
4196,纟,32415,U+7E9F,追加字库; 合并字库; GB2312,3
4197,纠,32416,U+7EA0,追加字库; 合并字库; GB2312,3
4198,纡,32417,U+7EA1,追加字库; 合并字库; GB2312,3
4199,红,32418,U+7EA2,合并字库; GB2312,2
4200,纣,32419,U+7EA3,追加字库; 合并字库; GB2312,3
4201,纤,32420,U+7EA4,追加字库; 合并字库; GB2312,3
4202,纥,32421,U+7EA5,追加字库; 合并字库; GB2312,3
4203,约,32422,U+7EA6,追加字库; 合并字库; GB2312,3
4204,级,32423,U+7EA7,合并字库; GB2312,2
4205,纨,32424,U+7EA8,追加字库; 合并字库; GB2312,3
4206,纩,32425,U+7EA9,追加字库; 合并字库; GB2312,3
4207,纪,32426,U+7EAA,合并字库; GB2312,2
4208,纫,32427,U+7EAB,追加字库; 合并字库; GB2312,3
4209,纬,32428,U+7EAC,追加字库; 合并字库; GB2312,3
4210,纭,32429,U+7EAD,追加字库; 合并字库; GB2312,3
4211,纯,32431,U+7EAF,追加字库; 合并字库; GB2312,3
4212,纰,32432,U+7EB0,追加字库; 合并字库; GB2312,3
4213,纱,32433,U+7EB1,追加字库; 合并字库; GB2312,3
4214,纲,32434,U+7EB2,追加字库; 合并字库; GB2312,3
4215,纳,32435,U+7EB3,追加字库; 合并字库; GB2312,3
4216,纵,32437,U+7EB5,合并字库; GB2312,2
4217,纶,32438,U+7EB6,追加字库; 合并字库; GB2312,3
4218,纷,32439,U+7EB7,追加字库; 合并字库; GB2312,3
4219,纸,32440,U+7EB8,合并字库; GB2312,2
4220,纹,32441,U+7EB9,追加字库; 合并字库; GB2312,3
4221,纺,32442,U+7EBA,追加字库; 合并字库; GB2312,3
4222,纽,32445,U+7EBD,追加字库; 合并字库; GB2312,3
4223,纾,32446,U+7EBE,追加字库; 合并字库; GB2312,3
4224,线,32447,U+7EBF,合并字库; GB2312,2
4225,绀,32448,U+7EC0,追加字库; 合并字库; GB2312,3
4226,绁,32449,U+7EC1,追加字库; 合并字库; GB2312,3
4227,绂,32450,U+7EC2,追加字库; 合并字库; GB2312,3
4228,练,32451,U+7EC3,追加字库; 合并字库; GB2312,3
4229,组,32452,U+7EC4,合并字库; GB2312,2
4230,绅,32453,U+7EC5,追加字库; 合并字库; GB2312,3
4231,细,32454,U+7EC6,合并字库; GB2312,2
4232,织,32455,U+7EC7,追加字库; 合并字库; GB2312,3
4233,终,32456,U+7EC8,追加字库; 合并字库; GB2312,3
4234,绉,32457,U+7EC9,追加字库; 合并字库; GB2312,3
4235,绊,32458,U+7ECA,追加字库; 合并字库; GB2312,3
4236,绋,32459,U+7ECB,追加字库; 合并字库; GB2312,3
4237,绌,32460,U+7ECC,追加字库; 合并字库; GB2312,3
4238,绍,32461,U+7ECD,合并字库; GB2312,2
4239,绎,32462,U+7ECE,追加字库; 合并字库; GB2312,3
4240,经,32463,U+7ECF,合并字库; GB2312,2
4241,绐,32464,U+7ED0,追加字库; 合并字库; GB2312,3
4242,绑,32465,U+7ED1,追加字库; 合并字库; GB2312,3
4243,绒,32466,U+7ED2,合并字库; GB2312,2
4244,结,32467,U+7ED3,追加字库; 合并字库; GB2312,3
4245,绔,32468,U+7ED4,追加字库; 合并字库; GB2312,3
4246,绕,32469,U+7ED5,追加字库; 合并字库; GB2312,3
4247,绗,32471,U+7ED7,追加字库; 合并字库; GB2312,3
4248,绘,32472,U+7ED8,追加字库; 合并字库; GB2312,3
4249,给,32473,U+7ED9,合并字库; GB2312,2
4250,绚,32474,U+7EDA,追加字库; 合并字库; GB2312,3
4251,绛,32475,U+7EDB,合并字库; GB2312,2
4252,络,32476,U+7EDC,追加字库; 合并字库; GB2312,3
4253,绝,32477,U+7EDD,追加字库; 合并字库; GB2312,3
4254,绞,32478,U+7EDE,追加字库; 合并字库; GB2312,3
4255,统,32479,U+7EDF,合并字库; GB2312,2
4256,绠,32480,U+7EE0,追加字库; 合并字库; GB2312,3
4257,绡,32481,U+7EE1,追加字库; 合并字库; GB2312,3
4258,绢,32482,U+7EE2,追加字库; 合并字库; GB2312,3
4259,绣,32483,U+7EE3,追加字库; 合并字库; GB2312,3
4260,绥,32485,U+7EE5,合并字库; GB2312,2
4261,绦,32486,U+7EE6,追加字库; 合并字库; GB2312,3
4262,继,32487,U+7EE7,合并字库; GB2312,2
4263,绨,32488,U+7EE8,追加字库; 合并字库; GB2312,3
4264,绩,32489,U+7EE9,追加字库; 合并字库; GB2312,3
4265,绪,32490,U+7EEA,追加字库; 合并字库; GB2312,3
4266,绫,32491,U+7EEB,追加字库; 合并字库; GB2312,3
4267,续,32493,U+7EED,追加字库; 追加字库; 合并字库; GB2312,4
4268,绮,32494,U+7EEE,追加字库; 合并字库; GB2312,3
4269,绯,32495,U+7EEF,追加字库; 合并字库; GB2312,3
4270,绰,32496,U+7EF0,追加字库; 合并字库; GB2312,3
4271,绱,32497,U+7EF1,追加字库; 合并字库; GB2312,3
4272,绲,32498,U+7EF2,追加字库; 合并字库; GB2312,3
